Year,Location,Cause,Area_hectares,Number,Number_Percentage
1990,AB,Human activity,2385.4,372,1.0058403634003894
1990,AB,Lightning,30890.7,914,2.471338957386978
1991,AB,Human activity,2260.5,431,1.1653688081332467
1991,AB,Lightning,3769.3,466,1.2600043261951113
1992,AB,Human activity,2002.2,398,1.0761410339606317
1992,AB,Lightning,1075.2,626,1.6926238373350637
1993,AB,Human activity,1138.61,303,0.8192731992212848
1993,AB,Lightning,24892.7,517,1.3979017953709711
1994,AB,Human activity,2484.8,361,0.9760977720095176
1994,AB,Lightning,27057.68,499,1.3492321003677266
1995,AB,Human activity,7886.62,413,1.1166991131300021
1995,AB,Lightning,327019.99,358,0.9679861561756434
1996,AB,Human activity,655.24,143,0.38665368808133244
1996,AB,Lightning,1281.76,217,0.5867402119835605
1997,AB,Human activity,4383.07,204,0.5515898767034394
1997,AB,Lightning,322.27,242,0.654337010599178
1998,AB,Human activity,74976.88,448,1.2113346311918667
1998,AB,Lightning,651766.17,1192,3.223015357992645
1999,AB,Human activity,3722.86,443,1.1978152714687433
1999,AB,Lightning,116724.7,890,2.406446030715985
2000,AB,Human activity,4759.14,337,0.9112048453385247
2000,AB,Lightning,9958.0,429,1.1599610642439975
2001,AB,Human activity,137095.04,465,1.2573004542504866
2001,AB,Lightning,16932.3,490,1.3248972528661043
2002,AB,Human activity,247826.19,565,1.527687648712957
2002,AB,Human activity,7.0,1,0.0027038719446247027
2002,AB,Lightning,248579.43,868,2.346960847934242
2003,AB,Human activity,3575.9,643,1.7385896603936837
2003,AB,Lightning,51372.71,526,1.4222366428725934
2004,AB,Human activity,4207.78,861,2.328033744321869
2004,AB,Human activity,0.2,1,0.0027038719446247027
2004,AB,Lightning,231905.13,732,1.9792342634652824
2005,AB,Human activity,12036.34,901,2.4361886221068567
2005,AB,Human activity,3.91,2,0.0054077438892494055
2005,AB,Lightning,48640.28,433,1.1707765520224962
2006,AB,Human activity,21166.12,1197,3.236534717715769
2006,AB,Human activity,1.79,7,0.018927103612372917
2006,AB,Lightning,97576.92,747,2.019792342634653
2007,AB,Human activity,857.97,798,2.1576898118105126
2007,AB,Lightning,102757.68,513,1.3870863075924724
2008,AB,Human activity,2163.68,890,2.406446030715985
2008,AB,Human activity,42.11,3,0.008111615833874108
2008,AB,Lightning,18522.77,779,2.1063162448626436
2009,AB,Human activity,2885.58,1048,2.8336577979666884
2009,AB,Human activity,735.87,6,0.016223231667748216
2009,AB,Lightning,63251.5,566,1.5303915206575818
2010,AB,Human activity,2268.74,1101,2.9769630110317977
2010,AB,Human activity,1.5,1,0.0027038719446247027
2010,AB,Lightning,78830.84,741,2.0035691109669047
2011,AB,Human activity,128203.33,922,2.492969932943976
2011,AB,Human activity,0.6,2,0.0054077438892494055
2011,AB,Lightning,74245.95,215,0.581332468094311
2012,AB,Human activity,7553.0,1127,3.0472636815920398
2012,AB,Lightning,377851.12,436,1.1788881678563703
2013,AB,Human activity,2101.0,890,2.406446030715985
2013,AB,Lightning,17372.64,287,0.7760112481072896
2014,AB,Human activity,1203.51,859,2.3226260004326194
2014,AB,Lightning,22470.08,563,1.5222799048237077
2015,AB,Human activity,38610.55,1009,2.728206792126325
2015,AB,Lightning,427638.87,772,2.0873891412502705
2016,AB,Human activity,1134.0,861,2.328033744321869
2016,AB,Lightning,20015.05,514,1.389790179537097
2017,AB,Human activity,6832.69,787,2.127947220419641
2017,AB,Lightning,42316.3,416,1.1248107289638762
2018,AB,Human activity,1887.8,731,1.9765303915206576
2018,AB,Lightning,57901.81,512,1.3843824356478478
2019,AB,Human activity,3025.94,705,1.9062297209604153
2019,AB,Lightning,127692.59,288,0.7787151200519143
1990,BC,Human activity,40278.3,1240,2.1912773026083268
1990,BC,Lightning,35503.5,2015,3.5608256167385313
1991,BC,Human activity,10923.6,1253,2.214250371103414
1991,BC,Lightning,13785.2,760,1.3430409274051036
1992,BC,Human activity,15559.9,1461,2.581819467024811
1992,BC,Lightning,14892.9,2344,4.14222096557574
1993,BC,Human activity,3400.2,886,1.5657029758959495
1993,BC,Lightning,1783.2,611,1.0797342192691028
1994,BC,Human activity,12017.1,1169,2.06580900544285
1994,BC,Lightning,17738.2,2888,5.103555524139393
1995,BC,Human activity,19714.4,1130,1.9968897999575883
1995,BC,Lightning,28365.6,344,0.60790273556231
1996,BC,Human activity,6579.8,633,1.1186117197992507
1996,BC,Lightning,14089.3,727,1.2847246766098819
1997,BC,Human activity,2635.4,489,0.8641408072382837
1997,BC,Lightning,332.4,687,1.2140383120096134
1998,BC,Human activity,6552.156,910,1.6081147946561107
1998,BC,Lightning,70015.188,1752,3.096062769491765
1999,BC,Human activity,4834.0,597,1.054993991659009
1999,BC,Lightning,6721.41,601,1.062062628119036
2000,BC,Human activity,11361.754,684,1.2087368346645933
2000,BC,Lightning,6190.258,842,1.4879479748356543
2001,BC,Human activity,4843.569,812,1.4349332013854528
2001,BC,Lightning,4983.38,479,0.8464692160882167
2002,BC,Human activity,4353.763,900,1.5904432035060436
2002,BC,Lightning,4216.797,872,1.5409627482858557
2003,BC,Human activity,81744.683,942,1.6646638863363257
2003,BC,Lightning,183168.879,1515,2.6772460592351734
2004,BC,Human activity,2175.187,693,1.2246412666996536
2004,BC,Lightning,218112.29,1712,3.0253764048914964
2005,BC,Human activity,7844.705,607,1.072665582809076
2005,BC,Lightning,27097.361,387,0.6838905775075987
2006,BC,Human activity,9454.723,1026,1.81310525199689
