Year,Jurisdiction,Month,Area (hectares),Number
1990,Alberta,January,0.1,1
1990,Alberta,October,182.4,34
1990,Alberta,November,42.5,16
1990,Alberta,December,0.4,4
1990,Alberta,February,3.3,5
1990,Alberta,March,6.6,8
1990,Alberta,April,25.1,26
1990,Alberta,May,624.2,110
1990,Alberta,June,1704.3,196
1990,Alberta,July,14934.4,422
1990,Alberta,August,14245.8,362
1990,Alberta,September,2315.8,117
1991,Alberta,January,86.2,9
1991,Alberta,October,137.6,65
1991,Alberta,November,0.7,6
1991,Alberta,December,35.8,7
1991,Alberta,February,0.8,4
1991,Alberta,March,117.5,8
1991,Alberta,April,1158.0,111
1991,Alberta,May,3467.6,197
1991,Alberta,June,87.2,111
1991,Alberta,July,115.4,119
1991,Alberta,August,784.1,234
1991,Alberta,September,173.9,53
1992,Alberta,January,12.0,14
1992,Alberta,October,79.7,29
1992,Alberta,November,5.3,15
1992,Alberta,December,0.4,4
1992,Alberta,February,54.2,11
1992,Alberta,March,248.3,61
1992,Alberta,April,1254.0,110
1992,Alberta,May,419.8,91
1992,Alberta,June,706.0,147
1992,Alberta,July,268.0,221
1992,Alberta,August,494.8,339
1992,Alberta,September,5.5,14
1993,Alberta,January,2.7,8
1993,Alberta,October,49.3,19
1993,Alberta,November,8.1,7
1993,Alberta,December,0.01,1
1993,Alberta,February,39.3,12
1993,Alberta,March,227.1,28
1993,Alberta,April,301.1,52
1993,Alberta,May,6474.5,241
1993,Alberta,June,18539.4,314
1993,Alberta,July,127.3,108
1993,Alberta,August,284.6,35
1993,Alberta,September,7.0,17
1994,Alberta,January,15.22,4
1994,Alberta,October,26.54,25
1994,Alberta,November,22.92,30
1994,Alberta,December,14.8,9
1994,Alberta,March,31.9,12
1994,Alberta,April,868.33,64
1994,Alberta,May,2630.99,131
1994,Alberta,June,6581.28,206
1994,Alberta,July,17069.01,210
1994,Alberta,August,1112.48,105
1994,Alberta,September,1208.76,81
1995,Alberta,January,1.45,10
1995,Alberta,October,41.68,33
1995,Alberta,November,0.41,4
1995,Alberta,February,10.32,6
1995,Alberta,March,289.35,29
1995,Alberta,April,578.92,57
1995,Alberta,May,330663.75,213
1995,Alberta,June,3784.88,267
1995,Alberta,July,99.01,95
1995,Alberta,August,2109.76,26
1995,Alberta,September,370.03,58
1996,Alberta,January,0.12,1
1996,Alberta,October,2.01,7
1996,Alberta,November,0.21,2
1996,Alberta,December,0.35,2
1996,Alberta,March,1.1,1
1996,Alberta,April,92.67,26
1996,Alberta,May,522.03,56
1996,Alberta,June,533.69,106
1996,Alberta,July,775.27,86
1996,Alberta,August,21.79,75
1996,Alberta,September,12.15,14
1997,Alberta,January,0.01,1
1997,Alberta,October,0.31,3
1997,Alberta,November,0.1,1
1997,Alberta,December,3896.84,32
1997,Alberta,March,24.7,4
1997,Alberta,April,117.18,24
1997,Alberta,May,356.11,120
1997,Alberta,June,49.9,32
1997,Alberta,July,212.55,143
1997,Alberta,August,60.12,79
1997,Alberta,September,7.13,17
1998,Alberta,October,311.05,60
1998,Alberta,November,0.94,10
1998,Alberta,December,1.03,9
1998,Alberta,March,0.5,2
1998,Alberta,April,1362.21,152
1998,Alberta,May,349600.58,402
1998,Alberta,June,27747.45,261
1998,Alberta,July,722.71,186
1998,Alberta,August,347172.87,533
1998,Alberta,September,48.73,83
1999,Alberta,January,17.72,4
1999,Alberta,October,517.04,84
1999,Alberta,November,505.63,29
1999,Alberta,December,195.8,28
1999,Alberta,March,3.61,5
1999,Alberta,April,1286.71,133
1999,Alberta,May,36135.36,119
1999,Alberta,June,26177.56,207
1999,Alberta,July,52406.89,275
1999,Alberta,August,1708.2,427
1999,Alberta,September,1550.25,44
2000,Alberta,January,3.79,8
2000,Alberta,October,17.99,14
2000,Alberta,November,0.28,5
2000,Alberta,December,0.01,1
2000,Alberta,February,4.72,8
2000,Alberta,March,1083.43,28
2000,Alberta,April,2917.4,134
2000,Alberta,May,732.37,104
2000,Alberta,June,6422.04,242
2000,Alberta,July,1376.31,163
2000,Alberta,August,2175.6,66
2000,Alberta,September,1.96,10
2001,Alberta,January,0.17,4
2001,Alberta,October,72.93,56
2001,Alberta,November,1.52,22
2001,Alberta,December,0.62,10
2001,Alberta,February,0.02,2
2001,Alberta,March,50.96,27
2001,Alberta,April,1115.04,76
2001,Alberta,May,142105.52,281
2001,Alberta,June,671.99,174
2001,Alberta,July,365.38,186
2001,Alberta,August,128.44,83
2001,Alberta,September,9591.14,53
2002,Alberta,January,20.21,10
2002,Alberta,October,1.82,22
2002,Alberta,November,82.12,19
2002,Alberta,December,0.33,5
2002,Alberta,February,0.04,3
2002,Alberta,March,0.04,3
2002,Alberta,April,295.5,32
2002,Alberta,May,240234.17,256
2002,Alberta,June,254575.37,567
2002,Alberta,July,1096.65,352
2002,Alberta,August,106.94,118
2002,Alberta,September,6.02,58
2003,Alberta,January,115.91,13
2003,Alberta,October,1732.65,57
2003,Alberta,November,1.11,14
2003,Alberta,December,4.05,7
2003,Alberta,February,0.04,4
2003,Alberta,April,157.55,32
2003,Alberta,May,1715.56,263
2003,Alberta,June,576.24,200
2003,Alberta,July,68602.13,309
2003,Alberta,August,1682.37,234
2003,Alberta,September,319.31,58
2004,Alberta,January,2.02,3
2004,Alberta,October,18.58,27
2004,Alberta,November,0.22,3
2004,Alberta,December,1.01,2
2004,Alberta,February,5.04,3
2004,Alberta,March,76.24,8
2004,Alberta,April,2352.83,228
2004,Alberta,May,1244.66,297
2004,Alberta,June,822.15,270
2004,Alberta,July,230996.67,613
2004,Alberta,August,321.49,115
2004,Alberta,September,322.47,42
2005,Alberta,January,0.51,3
2005,Alberta,October,43.19,34
2005,Alberta,November,54.5,30
2005,Alberta,December,4.6,9
2005,Alberta,February,1.15,8
2005,Alberta,March,8.56,4
2005,Alberta,April,659.82,200
2005,Alberta,May,11483.19,438
2005,Alberta,June,46606.35,261
2005,Alberta,July,1827.93,238
2005,Alberta,August,27.53,85
2005,Alberta,September,8.81,64
2006,Alberta,January,5.23,22
2006,Alberta,October,173.2,56
2006,Alberta,November,0.34,6
2006,Alberta,December,0.84,4
2006,Alberta,February,34.49,19
2006,Alberta,March,7.45,48
2006,Alberta,April,3574.81,350
2006,Alberta,May,3192.94,388
2006,Alberta,June,89315.48,325
2006,Alberta,July,20460.3,521
2006,Alberta,August,1979.82,149
2006,Alberta,September,56.85,139
2007,Alberta,January,4.86,6
2007,Alberta,October,11.19,59
2007,Alberta,November,31.81,26
2007,Alberta,December,0.24,5
2007,Alberta,February,0.3,3
2007,Alberta,March,2.13,7
2007,Alberta,April,392.58,126
2007,Alberta,May,925.69,233
2007,Alberta,June,22923.54,257
2007,Alberta,July,79316.75,394
2007,Alberta,August,7.05,157
2007,Alberta,September,2.86,64
2008,Alberta,January,10.68,8
2008,Alberta,October,125.01,86
2008,Alberta,November,4.64,20
2008,Alberta,December,0.2,1
2008,Alberta,February,2.91,3
2008,Alberta,March,43.25,17
2008,Alberta,April,105.45,102
2008,Alberta,May,1943.42,438
2008,Alberta,June,4540.98,339
2008,Alberta,July,12390.54,412
2008,Alberta,August,1488.59,221
2008,Alberta,September,133.16,75
2009,Alberta,January,13.83,7
2009,Alberta,October,2.59,44
2009,Alberta,November,990.87,16
2009,Alberta,December,0.23,5
2009,Alberta,February,40.98,9
2009,Alberta,March,0.11,2
2009,Alberta,April,235.69,126
2009,Alberta,May,2093.22,490
2009,Alberta,June,61690.74,454
2009,Alberta,July,217.16,170
2009,Alberta,August,59.97,178
2009,Alberta,September,1557.45,172
2010,Alberta,January,0.06,5
2010,Alberta,October,321.62,60
2010,Alberta,November,50.27,24
2010,Alberta,December,0.02,2
2010,Alberta,February,0.73,4
2010,Alberta,March,98.73,46
2010,Alberta,April,655.57,334
2010,Alberta,May,1137.11,378
2010,Alberta,June,38202.15,335
2010,Alberta,July,40671.98,488
2010,Alberta,August,182.22,171
2010,Alberta,September,2.58,45
2011,Alberta,January,0.21,2
2011,Alberta,October,99.94,43
2011,Alberta,November,7.67,28
2011,Alberta,December,0.03,3
2011,Alberta,March,0.01,1
2011,Alberta,April,110.08,137
2011,Alberta,May,731062.39,403
2011,Alberta,June,73753.72,109
2011,Alberta,July,114.01,172
2011,Alberta,August,312.57,154
2011,Alberta,September,427.55,121
2012,Alberta,January,1.42,14
2012,Alberta,October,20.06,40
2012,Alberta,November,0.03,2
2012,Alberta,February,0.32,3
2012,Alberta,March,164.94,31
2012,Alberta,April,124.68,122
2012,Alberta,May,7626.49,454
2012,Alberta,June,199677.32,118
2012,Alberta,July,163603.06,385
2012,Alberta,August,13330.35,266
2012,Alberta,September,1269.75,170
2013,Alberta,January,0.1,1
