Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
1990,AB,0.11 - 1.0 ha,153.9,347,0.9127975799026701
1990,AB,1.1 - 10 ha,448.8,145,0.381428383532816
1990,AB,10 000 - 100 000 ha,11809.5,1,0.0026305405760883864
1990,AB,10.1 - 100 ha,1640.4,49,0.1288964882283309
1990,AB,100.1 - 1 000 ha,7579.1,21,0.055241352097856106
1990,AB,1000 - 10 000 ha,12379.7,3,0.00789162172826516
1990,AB,Up to 0.1 ha,73.5,735,1.9334473234249638
1991,AB,0.11 - 1.0 ha,119.2,266,0.6997237932395107
1991,AB,1.1 - 10 ha,464.2,144,0.37879784295672764
1991,AB,10.1 - 100 ha,1575.4,44,0.11574378534788898
1991,AB,100.1 - 1 000 ha,2401.0,10,0.026305405760883863
1991,AB,1000 - 10 000 ha,1559.1,1,0.0026305405760883864
1991,AB,Up to 0.1 ha,45.9,459,1.2074181244245692
1992,AB,0.11 - 1.0 ha,130.1,271,0.7128764961199526
1992,AB,1.1 - 10 ha,457.0,122,0.3209259502827831
1992,AB,10.1 - 100 ha,1167.2,31,0.08154675785873998
1992,AB,100.1 - 1 000 ha,1731.4,9,0.023674865184795477
1992,AB,Up to 0.1 ha,62.3,623,1.6388267789030644
1993,AB,0.11 - 1.0 ha,127.0,261,0.6865710903590688
1993,AB,1.1 - 10 ha,571.8,163,0.42877811390240694
1993,AB,10.1 - 100 ha,1711.4,51,0.1341575693805077
1993,AB,100.1 - 1 000 ha,5087.6,17,0.04471918979350256
1993,AB,1000 - 10 000 ha,18528.2,5,0.013152702880441932
1993,AB,Up to 0.1 ha,34.41,345,0.9075364987504932
1994,AB,0.11 - 1.0 ha,136.2,274,0.7207681178482178
1994,AB,1.1 - 10 ha,524.0,154,0.4051032487176115
1994,AB,10 000 - 100 000 ha,13137.7,1,0.0026305405760883864
1994,AB,10.1 - 100 ha,1531.0,48,0.12626594765224256
1994,AB,100.1 - 1 000 ha,3455.2,9,0.023674865184795477
1994,AB,1000 - 10 000 ha,10777.1,4,0.010522162304353546
1994,AB,Up to 0.1 ha,21.03,387,1.0180192029462054
1995,AB,0.11 - 1.0 ha,115.6,237,0.6234381165329476
1995,AB,1.1 - 10 ha,623.1,172,0.45245297908720244
1995,AB,10 000 - 100 000 ha,47408.4,2,0.005261081152176773
1995,AB,10.1 - 100 ha,1464.2,50,0.1315270288044193
1995,AB,100.1 - 1 000 ha,3270.6,12,0.03156648691306064
1995,AB,1000 - 10 000 ha,22962.9,6,0.01578324345653032
1995,AB,Over 100 000,262087.6,2,0.005261081152176773
1995,AB,Up to 0.1 ha,17.16,317,0.8338813626200184
1996,AB,0.11 - 1.0 ha,53.99,108,0.2840983822175457
1996,AB,1.1 - 10 ha,194.7,66,0.17361567802183347
1996,AB,10.1 - 100 ha,496.5,12,0.03156648691306064
1996,AB,100.1 - 1 000 ha,1207.0,5,0.013152702880441932
1996,AB,Up to 0.1 ha,9.2,185,0.48665000657635143
1997,AB,0.11 - 1.0 ha,82.2,163,0.42877811390240694
1997,AB,1.1 - 10 ha,288.77,81,0.21307378666315926
1997,AB,10.1 - 100 ha,534.1,19,0.049980270945679334
1997,AB,100.1 - 1 000 ha,1010.0,3,0.00789162172826516
1997,AB,1000 - 10 000 ha,2800.0,1,0.0026305405760883864
1997,AB,Up to 0.1 ha,9.88,189,0.497172168880705
1998,AB,0.11 - 1.0 ha,255.8,543,1.4283835328159937
1998,AB,1.1 - 10 ha,1128.53,310,0.8154675785873998
1998,AB,10 000 - 100 000 ha,315509.3,14,0.03682756806523741
1998,AB,10.1 - 100 ha,3170.49,93,0.24464027357621992
1998,AB,100.1 - 1 000 ha,19747.77,46,0.12100486650006577
1998,AB,1000 - 10 000 ha,68524.4,18,0.047349730369590955
1998,AB,Over 100 000,318588.1,2,0.005261081152176773
1998,AB,Up to 0.1 ha,43.68,672,1.7677232671313954
1999,AB,0.11 - 1.0 ha,177.47,399,1.049585689859266
1999,AB,1.1 - 10 ha,874.7,238,0.6260686571090359
1999,AB,10 000 - 100 000 ha,10349.3,1,0.0026305405760883864
1999,AB,10.1 - 100 ha,2959.79,80,0.2104432460870709
1999,AB,100.1 - 1 000 ha,12067.2,32,0.08417729843482837
1999,AB,1000 - 10 000 ha,94049.09,23,0.060502433250032885
1999,AB,Up to 0.1 ha,27.22,582,1.5309746152834407
2000,AB,0.11 - 1.0 ha,116.02,242,0.6365908194133895
2000,AB,1.1 - 10 ha,539.32,155,0.4077337892936999
2000,AB,10.1 - 100 ha,1288.94,40,0.10522162304353545
2000,AB,100.1 - 1 000 ha,3907.8,12,0.03156648691306064
2000,AB,1000 - 10 000 ha,8871.3,6,0.01578324345653032
2000,AB,Up to 0.1 ha,12.52,328,0.8628173089569906
2001,AB,0.11 - 1.0 ha,128.01,282,0.7418124424569249
2001,AB,1.1 - 10 ha,497.17,154,0.4051032487176115
2001,AB,10 000 - 100 000 ha,11520.0,1,0.0026305405760883864
2001,AB,10.1 - 100 ha,1091.95,26,0.06839405497829804
2001,AB,100.1 - 1 000 ha,6098.1,18,0.047349730369590955
2001,AB,1000 - 10 000 ha,30214.9,5,0.013152702880441932
2001,AB,Over 100 000,104534.3,1,0.0026305405760883864
2001,AB,Up to 0.1 ha,19.3,487,1.2810732605550441
2002,AB,0.11 - 1.0 ha,151.56,328,0.8628173089569906
2002,AB,1.1 - 10 ha,514.75,169,0.44456135735893726
