,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
0,1990,Alberta,May,624.2,110,0.29,N,1990-05-01,293.3,109081.34033333331,-5.163378294665004,-0.9807156101909892
1,1990,Alberta,June,1704.3,196,0.31,N,1990-06-01,246.3,43903.09533333333,-3.2488303570784147,-0.22843564589597506
2,1990,Alberta,July,14934.4,422,0.33,N,1990-07-01,262.4,27698.73566666666,-0.6177194915755756,0.47513525696607795
3,1990,Alberta,August,14245.8,362,0.38,N,1990-08-01,179.2,14241.275333333331,0.0003176645304421741,0.7031417112849411
4,1990,British Columbia,May,3443.9,235,0.29,N,1990-05-01,173.93333333333334,10548.055033333332,-1.1193369357569278,0.30091343010964067
5,1990,British Columbia,June,79.9,95,0.31,N,1990-06-01,213.46666666666667,16654.6782,-5.339670576143821,-0.809603800853909
6,1990,British Columbia,July,25045.7,775,0.33,N,1990-07-01,490.9,97810.56520000003,-1.3623304437264045,0.45662258828934016
7,1990,British Columbia,August,11674.3,1563,0.38,N,1990-08-01,646.1333333333333,39134.222799999996,-1.2096075030147488,0.8833564495872702
8,1990,Manitoba,May,337.9,71,0.29,N,1990-05-01,61.733333333333334,11219.75666666667,-3.502681497658403,0.13985584349734606
9,1990,Manitoba,June,400.6,85,0.31,N,1990-06-01,81.1,113683.52999999998,-5.648210391133161,0.04696829536894936
10,1990,Manitoba,July,5377.4,90,0.33,N,1990-07-01,96.83333333333333,65655.53333333334,-2.5022168965636262,-0.07318161729359109
11,1990,Manitoba,August,4754.3,176,0.38,N,1990-08-01,69.0,21649.239999999998,-1.5159208782053721,0.9363774904408924
12,1990,New Brunswick,May,88.1,71,0.29,N,1990-05-01,101.36666666666666,324.7366666666666,-1.304542064542199,-0.35606442897389373
13,1990,New Brunswick,June,6011.8,100,0.31,N,1990-06-01,48.666666666666664,407.5666666666666,2.6912749650377443,0.7201758529478647
14,1990,New Brunswick,July,25.7,114,0.33,N,1990-07-01,39.266666666666666,36.99666666666667,-0.36433682659460437,1.0658224658451187
15,1990,New Brunswick,August,10.7,32,0.38,N,1990-08-01,47.3,32.88666666666667,-1.1228235656696222,-0.3907743926981607
16,1990,Newfoundland and Labrador,May,2860.7,19,0.29,N,1990-05-01,28.866666666666667,340.4933333333334,2.1284260827634958,-0.4182485477338394
17,1990,Newfoundland and Labrador,June,355.7,36,0.31,N,1990-06-01,23.233333333333334,3956.4066666666668,-2.4090038059433887,0.43793090935774137
18,1990,Newfoundland and Labrador,July,20395.9,29,0.33,N,1990-07-01,15.266666666666667,5015.961599999999,1.402708752459825,0.6416240275344444
19,1990,Newfoundland and Labrador,August,966.7,30,0.38,N,1990-08-01,16.433333333333334,4493.5539393333365,-1.536510981413247,0.6018855892816206
20,1990,Northwest Territories,May,54.64,10,0.29,N,1990-05-01,10.166666666666666,17611.68966666667,-5.775551930896127,-0.01652930195121047
